ID,LASTUPDATED,ICON ,TITLE,COORDX,COORDY
1,12/12/13,http://www.zaragoza.es/contenidos/iconos/aparcabici.png,"CALLE IGLESIA JUSLIBOL, 1",674724.4,4618192.0
2,12/12/13,http://www.zaragoza.es/contenidos/iconos/aparcabici.png,"CALLE ZARAGOZA SAN GREGORIO, 96",675018.06,4617999.5
