ID,LASTUPDATED,ICON,TITLE,HORARIO,ACCESOPEATON,ACCESOS,ACCESOVEHICULO,COORDX,COORDY
1,08/07/2013,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,Estacionamiento de intercambio con el tranvía,24 horas,Pirineos,0,Pirineos,676505.5 ,4614631.0
2,08/07/2013,http://www.zaragoza.es/contenidos/iconos/aparcamientos.png,Expo Empresarial,24 horas.(cuando funcione el recinto),por Recinto Expo.,0,entrada y salida por Avda.  Ranillas y Pablo Ruiz Picasso.,674770.2,4615449.0
